major,track,course_code,course_title_en,course_title_ar,credits,prerequisites,description,,
CS,cs_required,CPCS202,Programming (I),????? (?),3,NONE,"The objective of this course is to cover the
fundamental concepts of procedural programming.
This course introduces the Java programming
language and helps students develop basic
problem-solving skills. Topics include algorithms,
flowchart, API, IDE, and JDK, numerical data,
primitive data type, short hand operators , cast
value of one type to another type , selection
statements, switch statements, break and continue
statements, relational operators, logical operators,
logical expressions, Boolean variable, Boolean
expressions, repetition statements, nested loops,
methods, pass arguments to a method, method
overloading, method abstraction, use of methods in
the math class, arrays, common array operations,
methods with array arguments and return value,
search and sort operations on array.",,
CS,cs_required,CPCS203,Programming (II),????? (?),3,CPCS202,"The objective of this course is to cover the basic and
intermediate concepts of object oriented
programming. Topics include the use of numerical
data, primitive data types, selection statements,
repetition statements, class, standard classes,
object, instance of a class, object oriented
programming, software development, constructor,
methods, call by values, call by reference, UML,
state memory diagram, class diagram, arrays,
method overloading, constructor overloading,
overriding, this, new, exception and assertions,
Inheritance, encapsulation, data abstraction,
private, public, protected, exception, inheritance,
abstract class, polymorphism, file handling.",,
CS,cs_required,CPCS204,Data Structures (I),?????? ???????? (?),3,CPCS203,"The objective of this course is to provide students
an understanding of abstract data structures,
including, but not limited to, arrays, linked lists,
queues, stacks, trees, and graphs. The course also
aims to give a conceptual understanding of the
trade-offs between various data structures, hence
enabling students to choose an optimal data
structure for a particular application. The students
will also learn concepts of algorithmic design,
recursion, and a variety of searching and sorting
algorithms.",,
CS,cs_required,CPCS331,Artificial Intelligence (I),?????? ????????? (?),3,CPCS204,"The objective of this course is to provide a broad
overview of AI and building intelligent systems.
Topics include intelligent agents, problem-solving
as a search activity, knowledge representation,
planning, reasoning and learning. Students will also
be introduced to evolutionary computation (EC),
natural language processing (NLP), and
programming in Prolog.",,
CS,cs_required,CPIT201, Introduction to Computing,????? ?? ???????,3,NONE,"The objective of this course is to present computer
science subject areas and applications in ways that
serve to motivate the study of computer science
and to put into context the various subjects that
students encounter later in their studies. Topics
include an introduction to the discipline of
computing, computer systems, number systems,
data representation, basic computer organization,
operating system functionality, basics of
networking, the Internet, an overview of database
systems, models, software engineering
methodologies, and programming languages.",,
CS,cs_required,STAT210, Introduction to Computing Statistics,????? ???????? ,,NONE,NONE,,
CS,cs_required,CPIT201,Introduction to Computing,????? ?????,3,NONE,"The objective of this course is to provide an
introduction to the computer science discipline.
Topics include the representation and manipulation
of data in computers, description of computer
hardware components and how the work, and an
overview of operating systems, algorithms, and
programming languages.",,
CS,cs_required,STAT210,Introduction to Computing Statistics,????? ????????,3,STAT110,NONE,,
CS,cs_required,CPIT221,Technical Writing,?????? ?????,2,STAT111,"The objective of this course is to study the
fundamentals of technical communication. Topics
include the concepts of technical communication
and its differences with academic writing,
processes in technical communication, tools and
techniques to perform collaborative projects and
writing, formatting the technical documents with
modern tools and techniques, techniques to write
official letters, memos and e-mails, writing
definitions and descriptions, writing informal
reports to address immediate and intermediate
tasks accomplishment, writing formal reports to
portray the complex nature of issues, writing
informal proposals to cover projects with limited
scope, writing formal proposals to submit a
detailed document, normally applied to large
projects, developing presentation skills, preparing
effective CV’s and cover letters, developing skills
for job interviews, learning styles in technical
writing for effective revision, and practicing
professional presentations in a seminar
environment.",,
CS,cs_required,ISLS101,Islamic Culture (I),????? ??????? (?),2,STAT112,NONE,,
CS,cs_required,CPCS222,Discrete Structures (I),?????? ?????? (?),3,STAT113,"The objective of this course is to study the logical
and algebraic relationships between discrete
objects. This course cultivates clear thinking and
creative problem solving by developing students’
mathematical maturity in several core areas: logic
and proofs, sets, functions, relations, and counting
techniques.",,
CS,cs_required,MATH202,Calculus (II),????? ?????? (?),3,STAT114,NONE,,
CS,cs_required,ARAB101,Language Skills,?????? ?????,3,STAT115,NONE,,
CS,cs_required,ISLS201,Islamic Culture (II),????? ??????? (?),2,STAT116,NONE,,
CS,cs_required,CPCS204,Data Structures (I),?????? ?????? (?),3,STAT117,"The objective of this course is to provide students
an understanding of abstract data structures,
including, but not limited to, arrays, linked lists,
queues, stacks, trees, and graphs. The course also
aims to give a conceptual understanding of the
trade-offs between various data structures, hence
enabling students to choose an optimal data
structure for a particular application. The students
will also learn concepts of algorithmic design,
recursion, and a variety of searching and sorting
algorithms.",,
CS,cs_required,CPCS211,Digital Logic Design,????? ?????? ??????,3,STAT118,"This objective of this course is to provide an
introduction to the fundamental concepts of digital
logic design. Topics include number systems, binary
codes, Boolean algebra, canonical and fundamental
forms of Boolean functions, functions applications
to digital circuits design, minimization of Boolean
functions by Boolean algebra and Karnaugh maps,
two -level and multi-level digital circuits, decoders,
encoders, multiplexers, demultiplexers, latches,
flip-flops, registers, counters, analysis and synthesis
of synchronous sequential circuits. Additionally,
this course includes a laboratory component in
which students apply the design principles learned
in lectures to the design of combinational circuits
and synchronous sequential circuits.",,
CS,cs_required,CPCS212,Applied Math for Computing (I),??????? ??????? ??????? (?),4,STAT119,"The objective of this course is to familiarize
students with the basic concepts of applied
mathematics used in computer science. Topics
include: Matlab: matrices and arrays, Matlab:
graphics, Matlab: programming, solution of
nonlinear equations, solution of systems of linear
equations, numerical integration, numerical
differentiation, and ordinary differential equations.",,
